,Games,Year,Sport,Discipline,Athlete,Team,Gender,Event,Medal,Gold,Silver,Bronze
5414,Amsterdam (1928),1928,Gymnastics,Artistic Gymnastics,Romeo Neri,ITA,Men,horizontal bar men,Silver,0,1,0
5415,Amsterdam (1928),1928,Gymnastics,Artistic Gymnastics,Leon Stukelj,YUG,Men,individual all-round men,Bronze,0,0,1
5416,Amsterdam (1928),1928,Gymnastics,Artistic Gymnastics,Georges Miez,SUI,Men,individual all-round men,Gold,1,0,0
5417,Amsterdam (1928),1928,Gymnastics,Artistic Gymnastics,Hermann Hänggi,SUI,Men,individual all-round men,Silver,0,1,0
5418,Amsterdam (1928),1928,Gymnastics,Artistic Gymnastics,Hermann Hänggi,SUI,Men,parallel bars men,Bronze,0,0,1
5419,Amsterdam (1928),1928,Gymnastics,Artistic Gymnastics,Ladislav Vacha,TCH,Men,parallel bars men,Gold,1,0,0
5420,Amsterdam (1928),1928,Gymnastics,Artistic Gymnastics,Josip Primozic,YUG,Men,parallel bars men,Silver,0,1,0
5421,Amsterdam (1928),1928,Gymnastics,Artistic Gymnastics,Heikki Savolainen,FIN,Men,pommel horse men,Bronze,0,0,1
5422,Amsterdam (1928),1928,Gymnastics,Artistic Gymnastics,Hermann Hänggi,SUI,Men,pommel horse men,Gold,1,0,0
5423,Amsterdam (1928),1928,Gymnastics,Artistic Gymnastics,Georges Miez,SUI,Men,pommel horse men,Silver,0,1,0
5424,Amsterdam (1928),1928,Gymnastics,Artistic Gymnastics,Emanuel Loffler,TCH,Men,rings men,Bronze,0,0,1
5425,Amsterdam (1928),1928,Gymnastics,Artistic Gymnastics,Leon Stukelj,YUG,Men,rings men,Gold,1,0,0
5426,Amsterdam (1928),1928,Gymnastics,Artistic Gymnastics,Ladislav Vacha,TCH,Men,rings men,Silver,0,1,0
5427,Amsterdam (1928),1928,Gymnastics,Artistic Gymnastics,Eduard Antosiewic,YUG,Men,team competition men,Bronze,0,0,1
5428,Amsterdam (1928),1928,Gymnastics,Artistic Gymnastics,Dragutin Ciotti,YUG,Men,team competition men,Bronze,0,0,1
5429,Amsterdam (1928),1928,Gymnastics,Artistic Gymnastics,Stane Derganc,YUG,Men,team competition men,Bronze,0,0,1
5430,Amsterdam (1928),1928,Gymnastics,Artistic Gymnastics,Boris Gregorka,YUG,Men,team competition men,Bronze,0,0,1
5431,Amsterdam (1928),1928,Gymnastics,Artistic Gymnastics,Anton Malej,YUG,Men,team competition men,Bronze,0,0,1
5432,Amsterdam (1928),1928,Gymnastics,Artistic Gymnastics,Ivan Porenta,YUG,Men,team competition men,Bronze,0,0,1
5433,Amsterdam (1928),1928,Gymnastics,Artistic Gymnastics,Josip Primozic,YUG,Men,team competition men,Bronze,0,0,1
5434,Amsterdam (1928),1928,Gymnastics,Artistic Gymnastics,Leon Stukelj,YUG,Men,team competition men,Bronze,0,0,1
5435,Amsterdam (1928),1928,Gymnastics,Artistic Gymnastics,Hans Grieder,SUI,Men,team competition men,Gold,1,0,0
5436,Amsterdam (1928),1928,Gymnastics,Artistic Gymnastics,August Güttinger,SUI,Men,team competition men,Gold,1,0,0
5437,Amsterdam (1928),1928,Gymnastics,Artistic Gymnastics,Hermann Hänggi,SUI,Men,team competition men,Gold,1,0,0
5438,Amsterdam (1928),1928,Gymnastics,Artistic Gymnastics,Eugen Mack,SUI,Men,team competition men,Gold,1,0,0
5439,Amsterdam (1928),1928,Gymnastics,Artistic Gymnastics,Georges Miez,SUI,Men,team competition men,Gold,1,0,0
5440,Amsterdam (1928),1928,Gymnastics,Artistic Gymnastics,Otto Pfister,SUI,Men,team competition men,Gold,1,0,0
5441,Amsterdam (1928),1928,Gymnastics,Artistic Gymnastics,Eduard Steinemann,SUI,Men,team competition men,Gold,1,0,0
5442,Amsterdam (1928),1928,Gymnastics,Artistic Gymnastics,Melchior Wezel,SUI,Men,team competition men,Gold,1,0,0
5443,Amsterdam (1928),1928,Gymnastics,Artistic Gymnastics,Josef Effenberger,TCH,Men,team competition men,Silver,0,1,0
5444,Amsterdam (1928),1928,Gymnastics,Artistic Gymnastics,Jan Gajdos,TCH,Men,team competition men,Silver,0,1,0
5445,Amsterdam (1928),1928,Gymnastics,Artistic Gymnastics,Jan Koutny,TCH,Men,team competition men,Silver,0,1,0
5446,Amsterdam (1928),1928,Gymnastics,Artistic Gymnastics,Emanuel Loffler,TCH,Men,team competition men,Silver,0,1,0
5447,Amsterdam (1928),1928,Gymnastics,Artistic Gymnastics,Bedrich Supcik,TCH,Men,team competition men,Silver,0,1,0
5448,Amsterdam (1928),1928,Gymnastics,Artistic Gymnastics,Ladislav Tikal,TCH,Men,team competition men,Silver,0,1,0
5449,Amsterdam (1928),1928,Gymnastics,Artistic Gymnastics,Ladislav Vacha,TCH,Men,team competition men,Silver,0,1,0
5450,Amsterdam (1928),1928,Gymnastics,Artistic Gymnastics,Vaclav Vesely,TCH,Men,team competition men,Silver,0,1,0
5451,Amsterdam (1928),1928,Gymnastics,Artistic Gymnastics,Annie Broadbent,GBR,Women,team competition women,Bronze,0,0,1
5452,Amsterdam (1928),1928,Gymnastics,Artistic Gymnastics,Lucy Desmond,GBR,Women,team competition women,Bronze,0,0,1
5453,Amsterdam (1928),1928,Gymnastics,Artistic Gymnastics,Margaret B. Hartley,GBR,Women,team competition women,Bronze,0,0,1
5454,Amsterdam (1928),1928,Gymnastics,Artistic Gymnastics,Amy C. Jagger,GBR,Women,team competition women,Bronze,0,0,1
